chr	start	end	CpG	2-O_S1_R1_001-N	2-O_S1_R1_001-X	2-R_S2_R1_001-N	2-R_S2_R1_001-X	4-LL_S4_R1_001-N	4-LL_S4_R1_001-X	4-L_S3_R1_001-N	4-L_S3_R1_001-X	5-O_S2_R1_001-N	5-O_S2_R1_001-X	5-RR_S8_R1_001-N	5-RR_S8_R1_001-X	5-R_S7_R1_001-N	5-R_S7_R1_001-X	6-LL_S6_R1_001-N	6-LL_S6_R1_001-X	6-L_S5_R1_001-N	6-L_S5_R1_001-X	7-L_S1_R1_001-N	7-L_S1_R1_001-X
chr10	58275352	58275395	7	NA	NA	NA	NA	21	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	58684170	58684235	6	NA	NA	NA	NA	22	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	58785664	58785876	9	NA	NA	NA	NA	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr10	59078872	59078904	6	NA	NA	NA	NA	NA	NA	NA	NA	24	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	59155426	59155504	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	17	NA	NA	NA	NA	NA	NA
chr10	59342016	59342198	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	9	NA	NA
chr10	59342497	59342642	18	NA	NA	NA	NA	NA	NA	NA	NA	50	3	NA	NA	NA	NA	NA	NA	31	24	NA	NA
chr10	59414173	59414216	10	NA	NA	50	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	59415356	59415525	8	NA	NA	NA	NA	21	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	1
chr10	59432598	59432678	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	3
chr10	59466180	59466224	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	0	NA	NA
chr10	59570489	59570721	9	28	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	59654525	59654736	9	NA	NA	NA	NA	NA	NA	20	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	59740529	59740694	12	NA	NA	NA	NA	39	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	59999416	59999702	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	9
chr10	60293246	60293391	11	21	11	NA	NA	NA	NA	NA	NA	33	10	NA	NA	22	12	NA	NA	27	19	NA	NA
chr10	60293790	60293981	10	NA	NA	21	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	60846399	60846435	5	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	60881115	60881175	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	6	NA	NA
chr10	60881746	60881803	4	NA	NA	24	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	60914459	60914805	10	NA	NA	21	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	61088439	61088488	5	NA	NA	NA	NA	20	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	61111449	61111608	21	NA	NA	NA	NA	27	7	31	1	21	6	NA	NA	NA	NA	56	8	20	10	NA	NA
chr10	61143659	61144051	9	20	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	61158270	61158570	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	11	30	7	NA	NA	NA	NA	NA	NA
chr10	61534168	61534371	9	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	61596586	61596693	7	NA	NA	NA	NA	NA	NA	24	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	61867985	61868099	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	10	NA	NA
chr10	62040846	62040879	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	15	NA	NA	NA	NA	NA	NA	NA	NA
chr10	62064914	62065005	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	3	NA	NA	NA	NA	NA	NA	NA	NA
chr10	62349651	62349850	14	NA	NA	25	17	22	1	35	23	26	12	22	6	33	20	NA	NA	NA	NA	NA	NA
chr10	62485539	62485786	8	NA	NA	NA	NA	NA	NA	NA	NA	20	3	26	11	NA	NA	NA	NA	NA	NA	NA	NA
chr10	62486477	62486516	8	NA	NA	NA	NA	23	13	NA	NA	NA	NA	NA	NA	NA	NA	21	10	NA	NA	NA	NA
chr10	62552630	62552680	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	1	NA	NA	NA	NA	NA	NA
chr10	62706432	62706509	10	NA	NA	24	7	NA	NA	NA	NA	NA	NA	NA	NA	30	4	NA	NA	NA	NA	NA	NA
chr10	62867225	62867271	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA	NA	NA	NA	NA	NA	NA
chr10	63045363	63045685	14	NA	NA	NA	NA	41	13	22	10	24	8	NA	NA	23	3	NA	NA	NA	NA	NA	NA
chr10	64792993	64793017	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	30	NA	NA	NA	NA
chr10	66465522	66465671	10	NA	NA	NA	NA	NA	NA	NA	NA	23	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	66466303	66466660	9	NA	NA	22	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	66559464	66559529	9	NA	NA	NA	NA	27	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	66561887	66562111	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	10	NA	NA
chr10	66999473	66999605	10	NA	NA	NA	NA	22	8	NA	NA	NA	NA	NA	NA	NA	NA	25	10	42	32	NA	NA
chr10	67001440	67001524	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	9	NA	NA	NA	NA	NA	NA	NA	NA
chr10	67099530	67099650	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr10	67321197	67321412	11	NA	NA	NA	NA	25	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	67321795	67322033	8	NA	NA	NA	NA	NA	NA	NA	NA	22	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	67331343	67331500	6	22	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	67582216	67582323	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	18	NA	NA	NA	NA	NA	NA
chr10	67739572	67739653	7	NA	NA	NA	NA	20	16	NA	NA	NA	NA	NA	NA	NA	NA	27	25	NA	NA	NA	NA
chr10	67740020	67740212	11	NA	NA	NA	NA	35	8	NA	NA	NA	NA	NA	NA	NA	NA	24	5	NA	NA	NA	NA
chr10	67991907	67992063	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	16	NA	NA
chr10	68674811	68675081	9	NA	NA	NA	NA	22	13	NA	NA	NA	NA	NA	NA	NA	NA	22	13	NA	NA	NA	NA
chr10	68736447	68736459	6	NA	NA	24	23	NA	NA	30	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	68751776	68751945	5	NA	NA	NA	NA	NA	NA	21	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	68784581	68784850	12	NA	NA	NA	NA	NA	NA	28	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	68829767	68829836	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	32	NA	NA	NA	NA	NA	NA
chr10	68861215	68861488	14	NA	NA	NA	NA	29	4	32	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	69028851	69029133	12	NA	NA	NA	NA	39	36	23	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	69444481	69444757	11	NA	NA	NA	NA	29	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	69511071	69511089	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA	NA	NA	NA	NA
chr10	69595857	69595907	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	18	NA	NA
chr10	69707115	69707414	10	NA	NA	NA	NA	27	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	70060990	70061134	5	26	13	NA	NA	NA	NA	NA	NA	NA	NA	21	14	NA	NA	27	15	NA	NA	NA	NA
chr10	70700520	70700574	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	21	NA	NA
chr10	70730501	70730543	4	24	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	70844380	70844500	9	NA	NA	NA	NA	NA	NA	25	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	72117316	72117514	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	2	NA	NA
chr10	74105052	74105161	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13	NA	NA	NA	NA	NA	NA	NA	NA
chr10	74182084	74182292	9	NA	NA	21	20	NA	NA	NA	NA	21	21	21	18	20	19	NA	NA	NA	NA	NA	NA
chr10	74338478	74338506	4	NA	NA	24	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	74499920	74500044	15	27	7	NA	NA	NA	NA	30	6	NA	NA	NA	NA	32	15	NA	NA	NA	NA	NA	NA
chr10	74523196	74523266	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	0
chr10	74674713	74674777	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	0
chr10	74860011	74860068	11	NA	NA	38	36	43	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	30
chr10	75300016	75300160	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	5	NA	NA
chr10	75322227	75322336	7	NA	NA	NA	NA	20	3	NA	NA	NA	NA	NA	NA	20	1	NA	NA	NA	NA	NA	NA
chr10	75322559	75322630	7	NA	NA	NA	NA	NA	NA	29	9	NA	NA	NA	NA	NA	NA	24	4	NA	NA	NA	NA
chr10	75383885	75383972	14	23	18	NA	NA	26	10	35	13	NA	NA	NA	NA	20	1	21	10	39	29	25	7
chr10	75384396	75384564	10	NA	NA	24	6	NA	NA	NA	NA	NA	NA	NA	NA	21	14	NA	NA	NA	NA	NA	NA
chr10	75398702	75398743	5	NA	NA	NA	NA	NA	NA	23	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	75493135	75493184	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA
chr10	75495215	75495319	12	NA	NA	NA	NA	NA	NA	20	6	NA	NA	NA	NA	21	18	24	4	NA	NA	NA	NA
chr10	75700847	75700965	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	10	NA	NA
chr10	75903196	75903233	7	24	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	75905455	75905543	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	2	NA	NA	NA	NA	NA	NA	NA	NA
chr10	75905768	75905835	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	75993933	75994016	6	NA	NA	NA	NA	20	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	76059433	76059529	5	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	76495516	76495630	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	16	NA	NA	NA	NA	NA	NA	NA	NA
chr10	76628766	76628918	14	31	4	NA	NA	NA	NA	NA	NA	60	17	21	1	48	31	21	3	NA	NA	NA	NA
chr10	76629306	76629398	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	4
chr10	76722310	76722564	13	NA	NA	NA	NA	27	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	11	NA	NA
chr10	76879529	76879783	14	28	4	29	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	76978515	76978908	18	20	5	NA	NA	NA	NA	NA	NA	25	0	NA	NA	25	5	NA	NA	NA	NA	NA	NA
chr10	77023604	77023767	6	NA	NA	21	21	NA	NA	NA	NA	NA	NA	22	21	23	23	NA	NA	20	20	NA	NA
chr10	77068664	77068852	10	NA	NA	NA	NA	NA	NA	NA	NA	23	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77364923	77365016	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	1	NA	NA
chr10	77366005	77366048	5	NA	NA	NA	NA	22	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77432453	77432600	13	NA	NA	NA	NA	33	16	28	9	NA	NA	NA	NA	NA	NA	NA	NA	21	3	28	14
chr10	77506157	77506501	24	26	5	21	4	NA	NA	NA	NA	22	1	47	16	28	12	30	5	21	12	NA	NA
chr10	77532157	77532251	8	20	3	22	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77555541	77555673	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	18	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77631980	77632364	17	47	11	NA	NA	22	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	3	49	15
chr10	77706974	77707109	11	NA	NA	NA	NA	NA	NA	34	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77707739	77707830	7	NA	NA	NA	NA	26	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77829990	77830252	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	23	NA	NA	NA	NA	NA	NA
chr10	77835691	77835935	13	20	15	NA	NA	23	12	NA	NA	38	33	26	18	NA	NA	NA	NA	33	19	24	19
chr10	77854891	77855221	16	NA	NA	21	6	34	7	NA	NA	22	1	NA	NA	NA	NA	27	1	NA	NA	NA	NA
chr10	77874956	77875426	22	24	10	31	12	NA	NA	28	6	27	6	29	10	21	9	34	12	46	13	37	11
chr10	77927428	77927546	10	NA	NA	NA	NA	24	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77927653	77927980	21	23	0	NA	NA	27	3	38	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	7
chr10	77944835	77944929	9	NA	NA	29	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	77983058	77983183	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	16	NA	NA	NA	NA	NA	NA
chr10	78054949	78055156	8	NA	NA	NA	NA	31	12	NA	NA	NA	NA	NA	NA	22	6	NA	NA	NA	NA	NA	NA
chr10	78215505	78215611	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	5	NA	NA	NA	NA	NA	NA
chr10	78784887	78784999	8	41	2	NA	NA	28	5	NA	NA	NA	NA	NA	NA	NA	NA	34	3	NA	NA	NA	NA
chr10	79017266	79017315	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	4	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79179018	79179056	8	NA	NA	NA	NA	NA	NA	NA	NA	23	0	NA	NA	24	10	NA	NA	NA	NA	NA	NA
chr10	79180598	79180693	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	1	NA	NA	NA	NA
chr10	79209217	79209254	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	12	NA	NA	NA	NA	NA	NA
chr10	79228667	79228823	6	NA	NA	22	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79230302	79230369	6	NA	NA	21	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79243439	79243482	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79266427	79266588	9	NA	NA	NA	NA	NA	NA	NA	NA	27	15	NA	NA	25	16	NA	NA	NA	NA	NA	NA
chr10	79316687	79316826	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79383968	79384034	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	1	NA	NA	NA	NA	NA	NA
chr10	79388247	79388273	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79389995	79390039	5	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79390398	79390576	12	NA	NA	NA	NA	NA	NA	28	13	NA	NA	NA	NA	NA	NA	24	9	NA	NA	NA	NA
chr10	79422534	79422565	7	NA	NA	NA	NA	NA	NA	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79447658	79447706	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	12	NA	NA	NA	NA	NA	NA
chr10	79460112	79460155	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	9
chr10	79460336	79460434	7	NA	NA	NA	NA	NA	NA	20	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79502413	79502598	14	NA	NA	NA	NA	25	20	NA	NA	24	17	NA	NA	21	4	NA	NA	NA	NA	NA	NA
chr10	79517202	79517469	12	29	2	NA	NA	21	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79520470	79520621	14	NA	NA	NA	NA	28	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79526857	79526975	9	NA	NA	46	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	18
chr10	79578433	79578502	9	NA	NA	NA	NA	NA	NA	20	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79579190	79579287	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	13	NA	NA	NA	NA
chr10	79594182	79594313	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	14	NA	NA	NA	NA	NA	NA
chr10	79594753	79594807	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	21
chr10	79600835	79600861	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	1	NA	NA	NA	NA	NA	NA
chr10	79601131	79601296	8	NA	NA	NA	NA	22	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79605125	79605397	27	NA	NA	NA	NA	45	2	NA	NA	27	20	28	0	NA	NA	88	28	49	19	NA	NA
chr10	79635863	79635984	9	22	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79667021	79667075	4	NA	NA	NA	NA	NA	NA	NA	NA	21	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79689174	79689281	7	NA	NA	NA	NA	21	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79723163	79723243	6	NA	NA	NA	NA	NA	NA	23	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79756557	79756827	11	NA	NA	NA	NA	31	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79767617	79767713	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	8	NA	NA	NA	NA	NA	NA
chr10	79783106	79783191	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	9
chr10	79783297	79783358	9	25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79792578	79792763	14	33	11	42	4	NA	NA	32	12	26	11	NA	NA	NA	NA	20	11	34	6	NA	NA
chr10	79810967	79811160	12	NA	NA	NA	NA	23	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	4	NA	NA
chr10	79814784	79814837	4	NA	NA	NA	NA	27	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79819628	79819671	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	14
chr10	79909229	79909474	11	NA	NA	NA	NA	36	13	36	16	NA	NA	NA	NA	32	4	NA	NA	NA	NA	NA	NA
chr10	79937935	79938023	10	NA	NA	NA	NA	NA	NA	NA	NA	25	9	23	7	NA	NA	NA	NA	21	20	NA	NA
chr10	79938404	79938466	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr10	80023752	80023898	11	NA	NA	31	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80039546	80039598	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	0	NA	NA	NA	NA	NA	NA
chr10	80085069	80085153	6	NA	NA	NA	NA	24	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80118882	80118942	7	NA	NA	NA	NA	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80138523	80138669	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	6	NA	NA	NA	NA	NA	NA
chr10	80153974	80154060	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	21	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80270124	80270288	15	NA	NA	27	7	25	12	40	5	23	3	23	9	20	15	NA	NA	NA	NA	28	12
chr10	80271324	80271483	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80297493	80297554	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	9	NA	NA
chr10	80298673	80298736	8	NA	NA	NA	NA	28	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80306363	80306503	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	11	NA	NA	NA	NA	NA	NA
chr10	80317680	80317869	11	NA	NA	NA	NA	NA	NA	26	0	NA	NA	NA	NA	24	14	NA	NA	NA	NA	26	3
chr10	80360687	80360752	6	NA	NA	20	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80363453	80363559	10	21	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	12	NA	NA	NA	NA	NA	NA
chr10	80380683	80380921	21	20	15	NA	NA	NA	NA	46	23	31	22	NA	NA	NA	NA	23	14	NA	NA	NA	NA
chr10	80395536	80395600	6	NA	NA	NA	NA	NA	NA	26	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80396504	80396750	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	12	NA	NA	NA	NA	NA	NA
chr10	80460607	80460751	8	NA	NA	26	19	NA	NA	NA	NA	NA	NA	20	11	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80463027	80463162	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	14	NA	NA	NA	NA
chr10	80477685	80477738	5	NA	NA	NA	NA	NA	NA	NA	NA	20	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80500022	80500067	6	NA	NA	NA	NA	NA	NA	NA	NA	21	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80522770	80522962	18	NA	NA	50	36	NA	NA	29	11	NA	NA	45	10	NA	NA	NA	NA	23	6	24	7
chr10	80611260	80611338	8	NA	NA	NA	NA	NA	NA	NA	NA	23	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80635965	80636024	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	11	NA	NA	NA	NA
chr10	80639409	80639762	22	NA	NA	NA	NA	50	11	42	28	22	10	25	11	22	10	NA	NA	NA	NA	23	8
chr10	80640434	80640602	9	NA	NA	NA	NA	NA	NA	NA	NA	20	5	NA	NA	NA	NA	NA	NA	NA	NA	26	16
chr10	80640793	80640945	8	69	58	84	71	86	75	58	53	54	50	88	81	57	52	71	54	39	33	95	85
chr10	80641427	80641661	11	48	44	73	69	72	67	86	81	55	51	102	97	58	57	60	55	71	67	59	57
chr10	80641834	80642003	7	29	29	27	25	35	31	36	33	34	31	38	36	39	35	45	41	27	25	23	22
chr10	80644967	80645061	6	29	15	NA	NA	24	14	21	9	21	15	25	14	23	14	24	17	25	14	27	15
chr10	80655174	80655221	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	0	NA	NA	NA	NA
chr10	80695978	80696074	17	31	8	NA	NA	NA	NA	NA	NA	37	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80703688	80703860	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	7	NA	NA
chr10	80705141	80705159	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA
chr10	80729413	80729484	8	NA	NA	NA	NA	NA	NA	25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
